Name,Word Count,Unique Count,Difficulty Score,Words Learnt with only this book,Words learnt if read twice,Average Sentence Length,Average Clause Length,Uncommon Words
Esdrae.txt, 5134, 1711, 50040.38536391201, 55, 137, 15.725373134328358, 4.610699588477366, 1042
Zacharias.txt, 4375, 1443, 28171.262657517967, 51, 105, 10.15, 5.432203389830509, 811
Joel.txt, 1358, 656, 41281.03623802305, 9, 29, 11.125, 4.831775700934579, 353
Abdias.txt, 428, 248, 38740.35711700347, 2, 10, 10.55813953488372, 5.636363636363637, 106
Osee.txt, 3510, 1408, 32330.3960508117, 37, 82, 8.618390804597702, 5.07030303030303, 853
Philippenses.txt, 1558, 725, 63683.89769624495, 16, 46, 12.936, 5.150887573964497, 417
1 Thessalonicenses.txt, 1404, 594, 44189.673865269455, 17, 42, 12.824561403508772, 5.097087378640777, 310
Ruth.txt, 1792, 870, 37039.0260987612, 12, 44, 9.52, 4.7152466367713, 473
Actus Apostolorum.txt, 16784, 4809, 52998.229094915616, 183, 438, 11.245670301475304, 5.345841500980118, 3631
2 Paralipomenon.txt, 18021, 4534, 35844.24614197623, 231, 472, 13.631463947560087, 5.680995475113122, 3246
Tobiae.txt, 5040, 1961, 43225.39350089644, 58, 145, 11.762331838565023, 5.482658959537572, 1199
Ecclesiasticus.txt, 20753, 5958, 48307.85771077352, 215, 475, 10.12708719851577, 5.686018957345971, 4813
2 Timotheus.txt, 1170, 670, 76052.39053310268, 13, 26, 10.79646017699115, 4.608996539792387, 383
1 Machabaeorum.txt, 16615, 3713, 39282.20487738607, 197, 458, 12.951420029895367, 5.511071744906998, 2656
Ephesios.txt, 2150, 928, 56859.6111973932, 25, 50, 15.587412587412587, 5.364253393665158, 502
Titus.txt, 663, 403, 86551.13802203469, 4, 15, 12.581818181818182, 4.238636363636363, 232
Job.txt, 12568, 4433, 44193.204478333784, 126, 276, 9.217059639389737, 5.2408395588758445, 3402
Johannes.txt, 14097, 2810, 19518.47828804656, 184, 392, 8.278294149808639, 4.973329425556858, 1866
Lamentationes.txt, 2434, 1150, 28622.420386292277, 21, 71, 6.021028037383178, 4.607361963190184, 696
Philemon.txt, 322, 195, 43239.943992264045, 2, 8, 11.724137931034482, 4.842105263157895, 82
1 Corinthos.txt, 6447, 2090, 38575.021404235405, 76, 180, 8.971316818774445, 4.978515625, 1387
Matthaeus.txt, 16543, 4226, 24761.55934734521, 185, 451, 8.711623344776852, 4.896389713155291, 3003
Sapientia.txt, 7284, 2961, 78881.41882284166, 59, 168, 13.384751773049645, 5.810888252148997, 2213
Aggaeus.txt, 797, 361, 28122.48399289296, 10, 17, 11.223684210526315, 4.440191387559809, 133
Daniel.txt, 10812, 3148, 36118.32350382188, 127, 299, 11.1142578125, 4.891167192429022, 2118
Sophonias.txt, 1066, 550, 36219.381935652396, 9, 23, 10.752380952380953, 5.095041322314049, 285
In Catalinam I.txt, 3369, 1657, 66738.88542587029, 33, 80, 14.733905579399142, 5.250716332378223, 1265
2 Corinthos.txt, 4299, 1534, 58080.988620228476, 49, 106, 11.803664921465968, 5.109717868338558, 1021
Judicium.txt, 12699, 3819, 34695.536815828775, 162, 360, 10.79371474617244, 5.304458137006161, 2710
2 Johannes.txt, 218, 152, 37827.27561716904, 1, 3, 12.555555555555555, 4.959183673469388, 52
Psalmi.txt, 30335, 6306, 23953.584134451114, 326, 696, 7.620517691759677, 4.983525535420099, 5073
Colossenses.txt, 1464, 692, 60692.97668267457, 16, 31, 13.696428571428571, 4.881305637982196, 391
Ezechiel.txt, 26906, 5244, 32642.96093745878, 319, 632, 11.582144313086017, 5.536957301758163, 4014
Apocalypsis.txt, 8484, 2218, 31641.610457085102, 102, 285, 11.282828282828282, 5.079373368146214, 1407
Jonas.txt, 967, 439, 27374.340677483193, 9, 23, 10.0, 5.390476190476191, 194
2 Petrus.txt, 1053, 627, 92991.56567546203, 6, 22, 13.567901234567902, 5.359090909090909, 362
Habacuc.txt, 1003, 586, 46103.8232250186, 6, 17, 9.25, 5.033898305084746, 325
