Name,Word Count,Unique Count,Difficulty Score,Words Learnt with only this book,Words learnt if read twice,Average Sentence Length,Average Clause Length,Uncommon Words,Proportion Known
PRIMEIRA EPISTOLA DE S. PAULO APOSTOLO AOS THESSALONICENSES.txt, 1851, 591, 9213.871349181674, 26, 55, 10.923728813559322, 5.89727463312369, 252, 0.5591572123176661
ACTOS DOS APOSTOLOS.txt, 21485, 3789, 10423.483037715443, 285, 513, 12.043310463121784, 5.709780364182467, 2462, 0.5176169420525948
EPISTOLA UNIVERSAL DO APOSTOLO S. JUDAS.txt, 588, 339, 17704.13577705606, 4, 12, 12.215384615384615, 5.644736842105263, 118, 0.4965986394557823
O TERCEIRO LIVRO DE MOYSÉS CHAMADO LEVITICO.txt, 21196, 2113, 1266.0877960486523, 290, 480, 13.420362903225806, 6.703139643861293, 927, 0.7938290243442159
PRIMEIRA EPISTOLA UNIVERSAL DO APOSTOLO S. JOÃO.txt, 2353, 476, 4463.134259289508, 36, 87, 11.064056939501778, 6.567829457364341, 176, 0.6022099447513812
O QUINTO LIVRO DE MOYSÉS CHAMADO DEUTERONOMIO.txt, 25187, 3445, 4112.142612605608, 269, 512, 13.135510204081633, 6.720411331005045, 1997, 0.6417993409298448
SEGUNDA EPISTOLA DO APOSTOLO S. JOÃO.txt, 293, 163, 10343.788600512735, 2, 7, 11.617647058823529, 6.294117647058823, 43, 0.5119453924914675
O SANCTO EVANGELHO SEGUNDO S. LUCAS.txt, 22792, 4041, 6808.462952693855, 266, 531, 9.990291262135923, 5.440267765190526, 2577, 0.5496665496665497
OBADIAS.txt, 571, 267, 8676.972738123759, 9, 16, 12.56140350877193, 6.954954954954955, 75, 0.5849387040280211
O SANCTO EVANGELHO SEGUNDO S. MARCOS.txt, 13235, 2679, 6399.674140932583, 176, 351, 9.649737302977233, 5.198860398860399, 1534, 0.5351718927087269
EPISTOLA UNIVERSAL DO APOSTOLO S. THIAGO.txt, 2196, 834, 12682.618464771183, 24, 59, 11.464, 6.072124756335283, 371, 0.5341530054644809
O LIVRO DE RUTH.txt, 2305, 698, 5599.524342125949, 32, 88, 10.558490566037737, 5.945631067961165, 248, 0.5613882863340564
O LIVRO DE JOSUÉ.txt, 17263, 2472, 5113.0075599034835, 205, 399, 13.115960099750623, 6.079752953813104, 1378, 0.5942188495626485
SEGUNDA EPISTOLA DE S. PAULO APOSTOLO A TIMOTHEO.txt, 1597, 708, 19405.134177036238, 19, 40, 12.875, 6.297297297297297, 327, 0.5084533500313086
EPISTOLA DE S. PAULO APOSTOLO AOS COLOSSENSES.txt, 1960, 656, 10842.051833123069, 29, 61, 12.788461538461538, 6.1260683760683765, 281, 0.5714285714285714
O LIVRO DE NEHEMIAS.txt, 9547, 2009, 8585.426704689924, 120, 251, 13.341013824884792, 5.374352331606218, 1064, 0.5573478579658532
